atis_id,gtfs_id,gtfs_short_name,gtfs_long_name
X21,MTA:X21,X21,Staten Island - Midtown Manhattan Express
X22,MTA:X22,X22,Staten Island - Manhattan Express
X22A,MTA:X22A,X22A,Staten Island - Manhattan Express
X27,MTA:X27,X27,Bay Ridge - Manhattan Express
X28,MTA:X28,X28,Sea Gate / Bensonhurst - Manhattan Express
X3,MTA:X3,X3,Staten Island - Lower Manhattan Express
X30,MTA:X30,X30,Staten Island - Manhattan Express
X31,MTA:X31,X31,Staten Island - Manhattan Express
X37,MTA:X37,X37,Bay Ridge - Midtown Manhattan Express
X38,MTA:X38,X38,Sea Gate / Bensonhurst - Midtown Manhattan Express
X4,MTA:X4,X4,Staten Island - Lower Manhattan Express
X42,MTA:X42,X42,Staten Island - Midtown Manhattan Express
X5,MTA:X5,X5,Staten Island - Midtown Manhattan Express
X63,MTA:X63,X63,Rosedale - Midtown Manhattan Express
X64,MTA:X64,X64,Cambria Heights - Midtown Manhattan Express
X68,MTA:X68,X68,Floral Park - Midtown Manhattan Express
X7,MTA:X7,X7,Staten Island - Manhattan Express
X8,MTA:X8,X8,Staten Island - Lower Manhattan Express
X9,MTA:X9,X9,Staten Island - Manhattan Express
JPAH3,path-nj-us:859,PATH,Hoboken - 33rd Street
JPAHW,path-nj-us:860,PATH,Hoboken - World Trade Center
JPAJ3,path-nj-us:1024,PATH,Journal Square - 33rd Street (via Hoboken)
JPAJ3,path-nj-us:861,PATH,Journal Square - 33rd Street
JPANW,path-nj-us:862,PATH,Newark - World Trade Center
SIF,SIF:SIF,,Staten Island Ferry
ELFX,LIBUS:ElFx,ElFx,Elmont Flexi
MMCS,LIBUS:MMCS,MMCS,Mercy Medical Shuttle
N1,LIBUS:n1,n1,Jamaica-Elmont -Hewlett
N15,LIBUS:n15,n15,Long Beach- Roosevelt Field
N16,LIBUS:n16,n16,Hempstead-Rockville Centre
N19,LIBUS:n19,n19,Freeport-Sunrise Mall
N20,LIBUS:n20,n20,Hicks-Roslyn-Flush
N21,LIBUS:n21,n21,Great Neck-Glen Cove
N22,LIBUS:n22,n22,Jamaica-Mineola- Roos Fld-Hksvl
N23,LIBUS:n23,n23,Mineola-Manorhaven
N24,LIBUS:n24,n24,Jamaica-Mineola- Roos. Field-EM
N25,LIBUS:n25,n25,Great Neck-Lynbrook
N26,LIBUS:n26,n26,Jamaica - Great Neck
N27,LIBUS:n27,n27,Hempstead- Glen Cove
N31,LIBUS:n31,n31,Far Rockaway- Lynbrook-Hemp
N32,LIBUS:n32,n32,Far Rockaway- Lynbrook-Hemp
N33,LIBUS:n33,n33,Long Beach-Far Rockaway
N35,LIBUS:n35,n35,Baldwin-Hempstead-Westbury
N4,LIBUS:n4,n4,Freeport- Jamaica
N40,LIBUS:n40,n40,Freeport- Mineola
N43,LIBUS:n43,n43,Roosevelt Field- Freeport
N48,LIBUS:n48,n48,Hempstead- Jericho Quad
N49,LIBUS:n49,n49,Hempstead- Hicksville
N54,LIBUS:n54,n54,Hempstead-Amityville/Sun Mall
N57,LIBUS:n57,n57,Great Neck Loop
N58,LIBUS:n58,n58,Great Neck LIRR-Kings Pt.
N6,LIBUS:n6,n6,Hempstead - Jamaica
N72,LIBUS:n72,n72,Hempstead- Babylon LIRR
N79,LIBUS:n79,n79,Hicksville- Walt Whitman
N80,LIBUS:n80,n80,Hicksville-Sun Mall
